iter	RMSE
0	11564.01067
1	11183.0146
2	10801.69254
3	10397.33916
4	10033.82796
5	9713.50363
6	9404.456765
7	9078.833719
8	8798.027909
9	8539.92687
10	8288.900668
11	8066.515577
12	7814.175445
13	7612.197897
14	7407.684879
15	7218.102064
16	7040.283773
17	6881.398387
18	6723.275204
19	6560.966219
20	6416.309934
21	6276.622654
22	6148.972625
23	6025.814647
24	5914.454514
25	5806.293351
26	5709.436676
27	5610.302489
28	5523.321203
29	5446.150995
30	5372.320902
31	5293.962757
32	5225.203094
33	5161.925376
34	5099.513644
35	5045.6341
36	4992.194656
37	4943.099472
38	4896.011191
39	4851.926076
40	4819.845161
41	4785.869502
42	4753.443182
43	4719.87711
44	4693.26684
45	4662.105746
46	4636.201165
47	4610.854082
48	4584.231557
49	4564.749912
50	4541.484169
51	4523.368091
52	4505.733666
53	4487.140645
54	4471.596366
55	4455.427885
56	4440.168506
57	4425.659145
58	4411.893047
59	4398.960397
60	4386.318407
61	4374.713835
62	4364.731685
63	4351.553333
64	4343.071175
65	4333.624113
66	4321.865111
67	4317.784316
68	4310.642617
69	4301.882417
70	4289.603563
71	4281.657625
72	4278.529794
73	4271.976195
74	4264.211174
75	4260.134784
76	4250.393142
77	4243.788637
78	4237.857761
79	4228.601989
80	4221.370658
81	4215.303456
82	4209.46794
83	4201.996806
84	4197.159188
85	4188.617151
86	4183.074577
87	4176.782461
88	4171.742541
89	4165.53207
90	4161.69833
91	4155.918526
92	4152.544007
93	4146.463659
94	4143.41001
95	4141.135049
96	4134.895177
97	4131.66637
98	4128.326273
99	4122.893298
