iter	Passed	Remaining
0	2	236
1	4	218
2	6	209
3	7	181
4	9	182
5	11	183
6	13	183
7	14	172
8	16	171
9	18	170
10	21	170
11	23	169
12	25	168
13	27	168
14	29	167
15	31	165
16	33	164
17	35	162
18	37	160
19	39	157
20	41	156
21	43	155
22	45	153
23	47	151
24	49	149
25	51	147
26	52	143
27	55	142
28	57	140
29	59	139
30	61	135
31	62	132
32	64	131
33	66	129
34	69	128
35	71	126
36	72	124
37	74	122
38	76	120
39	78	118
40	80	115
41	82	113
42	84	112
43	86	110
44	88	107
45	90	105
46	92	103
47	94	102
48	96	100
49	98	98
50	100	96
51	102	94
52	104	92
53	106	90
54	108	88
55	110	86
56	112	84
57	114	83
58	116	81
59	118	79
60	120	77
61	122	75
62	125	73
63	126	71
64	129	69
65	131	67
66	133	65
67	135	63
68	137	61
69	139	59
70	141	57
71	144	56
72	144	53
73	146	51
74	148	49
75	150	47
76	152	45
77	154	43
78	156	41
79	159	39
80	161	37
81	163	35
82	165	33
83	167	31
84	169	29
85	171	27
86	173	25
87	175	23
88	177	21
89	179	19
90	181	17
91	183	15
92	185	13
93	187	11
94	190	10
95	191	7
96	194	6
97	196	4
98	198	2
99	200	0
