iter	Passed	Remaining
0	174	174492
1	177	88537
2	179	59594
3	180	45013
4	183	36604
5	186	30966
6	188	26758
7	190	23576
8	192	21156
9	193	19204
10	196	17624
11	199	16459
12	201	15329
13	203	14322
14	204	13440
15	206	12684
16	207	11985
17	208	11362
18	211	10896
19	213	10469
20	214	10005
21	215	9579
22	216	9190
23	217	8833
24	218	8505
25	218	8203
26	219	7921
27	220	7660
28	221	7416
29	222	7191
30	223	6978
31	227	6867
32	229	6729
33	230	6549
34	231	6378
35	232	6217
36	233	6066
37	233	5923
38	234	5786
39	235	5656
40	236	5532
41	237	5417
42	241	5381
43	242	5278
44	243	5174
45	244	5074
46	245	4978
47	246	4887
48	247	4799
49	248	4716
50	249	4636
51	249	4557
52	250	4483
53	251	4411
54	254	4380
55	255	4314
56	256	4248
57	257	4183
58	258	4123
59	259	4063
60	260	4006
61	261	3950
62	261	3896
63	262	3844
64	263	3793
65	264	3745
66	265	3697
67	266	3651
68	268	3626
69	271	3605
70	272	3562
71	273	3520
72	274	3480
73	274	3440
74	275	3401
75	276	3364
76	277	3327
77	278	3290
78	279	3255
79	280	3220
80	281	3189
81	284	3188
82	285	3158
83	287	3130
84	288	3101
85	289	3074
86	290	3046
87	291	3022
88	292	2996
89	293	2968
90	294	2941
91	295	2914
92	297	2905
93	300	2898
94	301	2872
95	302	2847
96	303	2822
97	304	2798
98	304	2774
99	305	2751
100	306	2730
101	307	2708
102	308	2687
103	309	2665
104	310	2644
105	311	2626
106	314	2623
107	316	2614
108	317	2594
109	318	2575
110	319	2556
111	319	2537
112	320	2518
113	321	2499
114	322	2482
115	323	2464
116	324	2445
117	324	2428
118	325	2411
119	330	2422
120	331	2406
121	332	2390
122	333	2374
123	333	2358
124	334	2343
125	335	2327
126	336	2311
127	337	2296
128	338	2282
129	338	2267
130	339	2253
131	340	2239
132	344	2243
133	345	2230
134	345	2216
135	346	2202
136	347	2189
137	348	2177
138	349	2164
139	350	2152
140	351	2139
141	351	2125
142	352	2113
143	353	2101
144	354	2089
145	355	2077
146	357	2075
147	360	2073
148	361	2062
149	362	2051
150	363	2041
151	363	2030
152	364	2019
153	365	2008
154	366	1997
155	367	1987
156	368	1977
157	369	1966
158	370	1957
159	372	1956
160	374	1953
161	375	1943
162	376	1934
163	377	1924
164	378	1914
165	379	1905
166	380	1895
167	380	1886
168	381	1877
169	382	1868
170	383	1859
171	384	1851
172	385	1844
173	388	1844
174	389	1837
175	390	1829
176	391	1822
177	392	1814
178	394	1807
179	395	1801
180	396	1793
181	397	1785
182	398	1777
183	398	1769
184	399	1760
185	402	1760
186	404	1760
187	405	1752
188	406	1745
189	407	1737
190	408	1729
191	409	1722
192	410	1714
193	411	1707
194	411	1700
195	412	1693
196	413	1686
197	414	1679
198	418	1683
199	420	1680
200	421	1673
201	421	1666
202	422	1659
203	423	1652
204	424	1646
205	425	1639
206	426	1632
207	427	1626
208	427	1619
209	428	1612
210	429	1606
211	432	1609
212	433	1603
213	434	1596
214	435	1590
215	436	1584
216	437	1577
217	438	1571
218	438	1565
219	439	1558
220	440	1553
221	441	1547
222	442	1541
223	443	1535
224	444	1529
225	444	1523
226	447	1524
227	449	1521
228	450	1516
229	451	1511
230	452	1506
231	453	1501
232	454	1497
233	456	1492
234	457	1488
235	458	1485
236	463	1490
237	464	1486
238	465	1482
239	466	1477
240	467	1472
241	469	1469
242	470	1466
243	471	1461
244	473	1457
245	474	1453
246	476	1452
247	479	1453
248	480	1449
249	481	1444
250	483	1441
251	484	1438
252	485	1433
253	486	1429
254	487	1425
255	489	1422
256	492	1423
257	495	1423
258	496	1419
259	497	1415
260	498	1411
261	499	1406
262	500	1402
263	501	1398
264	502	1394
265	504	1391
266	508	1394
